rid,aircraft,airport,model,wildlife_struck,impact,flight_date,damage,airline,origin,flight_phase,remains_collected_flag,Remarks,wildlife_size,sky_conditions,species,pilot_warned_flag,altitude_ft,heavy_flag
202152,Airplane,LAGUARDIA NY,B-737-400,859,Engine Shut Down,11/23/2000 0:00,Caused damage,US AIRWAYS,New York,Climb,FALSE,"FLT 753. PILOT REPTD A HUNDRED BIRDS ON UNKN TYPE. #1 ENG WAS SHUT DOWN AND DIVERTED TO EWR. SLIGHT VIBRATION. A/C WAS OUT OF SVC FOR REPAIRS TO COWLING, FAN DUCT ACCOUSTIC PANEL. INGESTION. DENTED FAN BLADE #26 IN #1 ENG. HEAVY BLOOD STAINS ON L WINGTIP",Medium,No Cloud,Unknown bird - medium,N,"1,500",Yes
208159,Airplane,DALLAS/FORT WORTH INTL ARPT,MD-80,424,None,7/25/2001 0:00,Caused damage,COMAIR AIRLINES,Texas,Landing Roll,FALSE,102 CARCASSES FOUND. 1 LDG LIGHT ON NOSE GEAR WAS DAMAGED AND REPLACED.,Small,Some Cloud,Rock pigeon,Y,0,No
207601,Airplane,LAKEFRONT AIRPORT,C-500,261,None,9/14/2001 0:00,No damage,US AIRWAYS,Louisiana,Approach,FALSE,FLEW UNDER A VERY LARGE FLOCK OF BIRDS OVER APCH END OF RWY. NO DMG. JUST A LOT OF BIRD DROPPINGS ON WINDSCREEN.,Small,No Cloud,European starling,N,50,No
215953,Airplane,SEATTLE-TACOMA INTL,B-737-400,806,Precautionary Landing,9/5/2002 0:00,No damage,AMERICAN AIRLINES,Washington,Climb,TRUE,"NOTAM WARNING. 26 BIRDS HIT THE A/C, FORCING AN EMERGENCY LDG. 77 BIRDS WERE FOUND DEAD ON RWY/TWY WITH GRASSHOPPERS IN THEIR STOMACHS. SAFETY AREAS COULD NOT BE THOROUGHLY INSPCTD DURING 14 MINUTE SHUTDOWN OF RWY 34L. NO DMG. A/C OUT OF SVC 40 MINS. PHOT",Small,Some Cloud,European starling,Y,50,Yes
219878,Airplane,NORFOLK INTL,CL-RJ100/200,942,None,6/23/2003 0:00,No damage,US AIRWAYS,Virginia,Approach,FALSE,NO DMG REPTD.,Small,No Cloud,European starling,N,50,No
204371,Airplane,ORLANDO SANFORD INTL AIRPORT,A-330,4,None,1/7/2000 0:00,No damage,IndiGo,Florida,Landing Roll,FALSE,FLT 057,Small,Some Cloud,Unknown bird - small,N,0,No
201589,Airplane,ONTARIO INTL ARPT,A-320,3,None,1/8/2000 0:00,No damage,SpiceJet,California,Approach,FALSE,"FLEW THRU A FLOCK OF ABOUT 30 BIRDS. INGESTED 1. REPTS DIFFER ON  ENG STRUCK, COULD BE #1 AND/OR #2.",Small,Some Cloud,Rock pigeon,N,200,No
204061,Airplane,KANSAS CITY INTL,MD-80,5,None,2/1/2000 0:00,No damage,Singapore Airlines,Missouri,Approach,FALSE,"BIRD ID BY DAN, WS MO. 3/17/00.  FLT 345",Large,Some Cloud,Snow goose,Y,500,No
202604,Airplane,LIHUE ARPT,DC-9-50,9,None,2/11/2000 0:00,No damage,Tiger Air,Hawaii,Take-off run,FALSE,FLT 138.,Small,No Cloud,Black-headed munia,Y,0,No
